Class,LOC,NOM,RFC,CBO,DIT,MPC,LCOM5,LCOM2,NOC,CYCLO,DAC
org.jfree.chart.annotations.CategoryLineAnnotation,173.0,19.0,53.0,23.0,1.0,34.0,0.738095238095238,0.6992481203007519,0.0,54.0,9.0,
org.jfree.chart.annotations.CategoryPointerAnnotation,204.0,23.0,68.0,28.0,3.0,45.0,0.8603896103896105,0.8229813664596273,0.0,50.0,16.0,
org.jfree.chart.annotations.CategoryTextAnnotation,106.0,11.0,43.0,23.0,2.0,32.0,0.65,0.5909090909090908,1.0,32.0,4.0,
org.jfree.data.general.CombinedDataset,229.0,30.0,43.0,10.0,1.0,16.0,0.8275862068965517,0.8,0.0,71.0,1.0,
org.jfree.data.general.CombinedDataset.DatasetInfo,8.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
org.jfree.data.general.DatasetChangeEvent,10.0,2.0,3.0,3.0,1.0,1.0,-0.0,0.0,0.0,2.0,1.0,
org.jfree.data.general.DatasetGroup,33.0,5.0,8.0,6.0,1.0,4.0,0.75,0.6,0.0,12.0,2.0,
org.jfree.data.general.DatasetUtilities,865.0,41.0,88.0,28.0,0.0,66.0,0.0,0.0,0.0,282.0,0.0,
org.jfree.data.general.DefaultKeyedValueDataset,69.0,10.0,20.0,12.0,1.0,12.0,0.7222222222222222,0.65,0.0,24.0,2.0,
org.jfree.data.general.DefaultKeyedValues2DDataset,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
org.jfree.data.general.DefaultKeyedValuesDataset,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,
org.jfree.data.general.DefaultPieDataset,117.0,19.0,43.0,15.0,1.0,28.0,0.6111111111111112,0.5789473684210527,1.0,38.0,2.0,
org.jfree.data.general.DefaultValueDataset,37.0,7.0,13.0,9.0,1.0,8.0,0.6666666666666666,0.5714285714285714,0.0,9.0,2.0,
org.jfree.data.general.SeriesChangeEvent,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.jfree.data.general.SeriesException,6.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
org.jfree.data.general.SubSeriesDataset,130.0,23.0,30.0,7.0,1.0,8.0,0.3181818181818182,0.30434782608695654,0.0,39.0,2.0,
org.jfree.data.gantt.Task,85.0,15.0,24.0,16.0,1.0,11.0,0.7999999999999999,0.7466666666666666,0.0,31.0,5.0,
org.jfree.data.gantt.TaskSeries,59.0,9.0,21.0,10.0,1.0,13.0,-0.0,0.0,0.0,22.0,1.0,
org.jfree.data.gantt.TaskSeriesCollection,282.0,36.0,63.0,18.0,1.0,40.0,0.7714285714285715,0.75,0.0,76.0,3.0,
org.jfree.chart.annotations.TextAnnotation,123.0,17.0,36.0,19.0,1.0,19.0,0.8697916666666666,0.8186274509803921,1.0,43.0,13.0,
org.jfree.data.general.WaferMapDataset,105.0,19.0,33.0,14.0,1.0,17.0,0.8650793650793651,0.8195488721804511,0.0,32.0,7.0,
org.jfree.chart.annotations.XYBoxAnnotation,127.0,9.0,35.0,21.0,1.0,28.0,0.484375,0.4305555555555556,0.0,32.0,11.0,
org.jfree.chart.annotations.XYDrawableAnnotation,87.0,5.0,22.0,20.0,1.0,17.0,0.45833333333333337,0.3666666666666667,0.0,24.0,6.0,
org.jfree.chart.annotations.XYImageAnnotation,115.0,12.0,38.0,26.0,1.0,27.0,0.7272727272727273,0.6666666666666667,0.0,33.0,6.0,
org.jfree.chart.annotations.XYLineAnnotation,131.0,8.0,36.0,25.0,1.0,29.0,0.5306122448979592,0.4642857142857143,0.0,33.0,9.0,
org.jfree.chart.annotations.XYPointerAnnotation,206.0,23.0,69.0,26.0,2.0,46.0,0.8603896103896105,0.8229813664596273,0.0,51.0,16.0,
org.jfree.chart.annotations.XYPolygonAnnotation,146.0,13.0,48.0,21.0,1.0,37.0,0.5833333333333334,0.5384615384615384,0.0,38.0,8.0,
org.jfree.chart.annotations.XYShapeAnnotation,125.0,9.0,49.0,21.0,1.0,42.0,0.42500000000000004,0.37777777777777777,0.0,29.0,9.0,
org.jfree.chart.annotations.XYTextAnnotation,190.0,23.0,55.0,28.0,1.0,32.0,0.8863636363636364,0.8478260869565217,1.0,59.0,15.0,
